Date,Temp_A,Temp_B
2019-06-25 22:05:10,4.625,2.208
2019-06-25 22:05:16,4.625,2.047
2019-06-25 22:05:22,4.625,2.047
2019-06-25 22:05:28,4.625,2.047
2019-06-25 22:05:34,4.625,2.047
2019-06-25 22:05:40,4.625,2.047
2019-06-25 22:05:46,4.464,2.047
2019-06-25 22:05:52,4.625,2.047
2019-06-25 22:05:58,4.464,2.047
2019-06-25 22:06:05,4.625,2.047
2019-06-25 22:06:11,4.464,2.047
2019-06-25 22:06:17,4.464,2.047
2019-06-25 22:06:23,4.464,2.047
2019-06-25 22:06:29,4.464,2.047
2019-06-25 22:06:35,4.464,2.047
2019-06-25 22:06:41,4.464,2.047
2019-06-25 22:06:47,4.464,2.047
2019-06-25 22:06:53,4.303,2.047
2019-06-25 22:06:59,4.464,2.047
2019-06-25 22:07:05,4.464,2.047
2019-06-25 22:07:11,4.464,2.047
2019-06-25 22:07:17,4.464,1.886
2019-06-25 22:07:23,4.464,1.886
2019-06-25 22:07:30,4.464,2.047
2019-06-25 22:07:36,4.303,1.886
2019-06-25 22:07:42,4.464,1.886
2019-06-25 22:07:48,4.303,2.047
2019-06-25 22:07:54,4.303,2.047
2019-06-25 22:08:00,4.303,2.047
2019-06-25 22:08:06,4.303,1.886
2019-06-25 22:08:12,4.303,1.886
2019-06-25 22:08:18,4.303,1.886
2019-06-25 22:08:24,4.303,2.047
2019-06-25 22:08:30,4.303,1.886
2019-06-25 22:08:36,4.141,1.886
2019-06-25 22:08:42,4.303,1.886
2019-06-25 22:08:48,4.303,1.886
2019-06-25 22:08:55,4.141,1.886
2019-06-25 22:09:01,4.303,1.886
2019-06-25 22:09:07,4.303,1.886
2019-06-25 22:09:13,4.303,1.886
2019-06-25 22:09:19,4.303,1.886
2019-06-25 22:09:25,4.303,1.886
2019-06-25 22:09:31,4.303,1.886
2019-06-25 22:09:37,4.141,1.724
2019-06-25 22:09:43,4.303,1.886
2019-06-25 22:09:49,4.303,1.886
2019-06-25 22:09:55,4.303,1.886
2019-06-25 22:10:01,4.303,1.886
2019-06-25 22:10:07,4.141,1.886
2019-06-25 22:10:13,4.141,1.724
2019-06-25 22:10:20,3.980,1.886
2019-06-25 22:10:26,4.141,1.886
2019-06-25 22:10:32,4.141,1.724
2019-06-25 22:10:38,4.141,1.724
2019-06-25 22:10:44,4.141,1.724
2019-06-25 22:10:50,4.141,1.886
2019-06-25 22:10:56,3.980,1.886
2019-06-25 22:11:02,3.980,1.724
2019-06-25 22:11:08,4.141,1.724
2019-06-25 22:11:14,4.141,1.724
2019-06-25 22:11:20,3.980,1.724
2019-06-25 22:11:26,3.980,1.724
2019-06-25 22:11:32,3.980,1.724
2019-06-25 22:11:38,3.980,1.724
2019-06-25 22:11:45,3.980,1.724
2019-06-25 22:11:51,3.980,1.724
2019-06-25 22:11:57,3.819,1.724
2019-06-25 22:12:03,3.980,1.724
2019-06-25 22:12:09,3.819,1.724
2019-06-25 22:12:15,3.819,1.724
2019-06-25 22:12:21,3.980,1.724
2019-06-25 22:12:27,3.819,1.724
2019-06-25 22:12:33,3.819,1.724
2019-06-25 22:12:39,3.819,1.724
2019-06-25 22:12:45,3.980,1.724
2019-06-25 22:12:51,3.819,1.724
2019-06-25 22:12:57,3.819,1.563
2019-06-25 22:13:03,3.819,1.724
2019-06-25 22:13:10,3.819,1.724
2019-06-25 22:13:16,3.819,1.724
2019-06-25 22:13:22,3.819,1.563
2019-06-25 22:13:28,3.658,1.724
2019-06-25 22:13:34,3.658,1.724
2019-06-25 22:13:40,3.819,1.563
2019-06-25 22:13:46,3.819,1.563
